data:text/csv;charset=utf-8,"Title of Report","Dashboard"
"Start date","2020-01-15"
"End date","2020-01-16"
"Filters"
"Queues","Follow Up Calls_f"
"Closed","Created","Agent Messages","Waiting for response","Backlog","First Assignment Average","Average Solved Time"
"1","1","0","0","0","-","11s"
